ID,X,Y,DispX,DispY,VelX,VelY,AccelX,AccelY,InternalForceX,InternalForceY,ExternalForceX,ExternalForceY,StrainEnergy,WorkPotential,PotentialEnergy,KineticEnergy,Lagrangian
0,0.00000E+00,0.00000E+00,-1.29198E-06,-4.60951E-07,6.90470E-05,-1.22335E-04,1.45387E-01,1.44099E-01,6.04841E-03,1.15999E-03,-4.87805E-03,0.00000E+00,9.85832E-13,6.30233E-09,-6.30134E-09,7.94267E-17,6.30134E-09
1,0.00000E+00,1.00000E+00,-1.28871E-06,-4.45130E-07,6.15895E-05,-1.21575E-04,2.27727E-02,7.79464E-02,5.06137E-03,6.27468E-04,-4.87805E-03,0.00000E+00,1.32734E-12,6.28638E-09,-6.28505E-09,7.47594E-17,6.28505E-09
2,0.00000E+00,2.00000E+00,-1.28578E-06,-4.29261E-07,5.51617E-05,-1.19817E-04,1.33498E-01,3.53346E-02,5.95271E-03,2.84444E-04,-4.87805E-03,0.00000E+00,2.04251E-12,6.27211E-09,-6.27007E-09,7.00308E-17,6.27007E-09
3,0.00000E+00,3.00000E+00,-1.28304E-06,-4.13333E-07,4.75263E-05,-1.20039E-04,1.90101E-01,7.06989E-02,6.40836E-03,5.69126E-04,-4.87805E-03,0.00000E+00,2.99131E-12,6.25876E-09,-6.25576E-09,6.70891E-17,6.25576E-09
4,0.00000E+00,4.00000E+00,-1.28059E-06,-3.97293E-07,4.22357E-05,-1.19397E-04,1.92012E-01,9.86514E-02,6.42374E-03,7.94144E-04,-4.87805E-03,0.00000E+00,3.59356E-12,6.24680E-09,-6.24321E-09,6.45589E-17,6.24321E-09
5,0.00000E+00,5.00000E+00,-1.27849E-06,-3.81085E-07,3.69000E-05,-1.19646E-04,1.66563E-01,8.38597E-02,6.21888E-03,6.75071E-04,-4.87805E-03,0.00000E+00,4.00639E-12,6.23653E-09,-6.23252E-09,6.30987E-17,6.23252E-09
6,0.00000E+00,6.00000E+00,-1.27674E-06,-3.64682E-07,3.12702E-05,-1.19043E-04,1.59458E-01,7.70876E-02,6.16169E-03,6.20556E-04,-4.87805E-03,0.00000E+00,4.33449E-12,6.22802E-09,-6.22369E-09,6.09745E-17,6.22369E-09
7,0.00000E+00,7.00000E+00,-1.27534E-06,-3.48056E-07,2.38081E-05,-1.19657E-04,1.43717E-01,7.48996E-02,6.03497E-03,6.02942E-04,-4.87805E-03,0.00000E+00,4.57655E-12,6.22115E-09,-6.21658E-09,5.99104E-17,6.21658E-09
8,0.00000E+00,8.00000E+00,-1.27425E-06,-3.31183E-07,1.57248E-05,-1.19990E-04,1.03545E-01,6.09834E-02,5.71159E-03,4.90916E-04,-4.87805E-03,0.00000E+00,4.70510E-12,6.21587E-09,-6.21116E-09,5.89454E-17,6.21116E-09
9,0.00000E+00,9.00000E+00,-1.27353E-06,-3.14043E-07,8.54826E-06,-1.20436E-04,9.21295E-02,8.45157E-02,5.61969E-03,6.80352E-04,-4.87805E-03,0.00000E+00,4.91993E-12,6.21232E-09,-6.20740E-09,5.86762E-17,6.20740E-09
10,0.00000E+00,1.00000E+01,-1.27316E-06,-2.96594E-07,1.45834E-06,-1.19893E-04,1.61512E-01,6.92275E-02,6.17822E-03,5.57281E-04,-4.87805E-03,0.00000E+00,5.05564E-12,6.21053E-09,-6.20548E-09,5.78650E-17,6.20548E-09
11,0.00000E+00,1.10000E+01,-1.27305E-06,-2.78831E-07,-6.33783E-06,-1.19085E-04,1.91553E-01,6.98990E-02,6.42005E-03,5.62687E-04,-4.87805E-03,0.00000E+00,5.03233E-12,6.20999E-09,-6.20496E-09,5.72411E-17,6.20496E-09
12,0.00000E+00,1.20000E+01,-1.27316E-06,-2.60725E-07,-1.50422E-05,-1.17627E-04,1.77559E-01,-6.39912E-03,6.30740E-03,-5.15129E-05,-4.87805E-03,0.00000E+00,4.71420E-12,6.21054E-09,-6.20583E-09,5.66013E-17,6.20583E-09
13,0.00000E+00,1.30000E+01,-1.27349E-06,-2.42299E-07,-2.41871E-05,-1.16134E-04,1.62020E-01,-8.25284E-03,6.18231E-03,-6.64353E-05,-4.87805E-03,0.00000E+00,4.51304E-12,6.21216E-09,-6.20764E-09,5.66402E-17,6.20764E-09
14,0.00000E+00,1.40000E+01,-1.27403E-06,-2.23543E-07,-3.44086E-05,-1.12743E-04,1.96565E-01,4.99310E-02,6.46040E-03,4.01944E-04,-4.87805E-03,0.00000E+00,4.38382E-12,6.21480E-09,-6.21042E-09,5.59270E-17,6.21042E-09
15,0.00000E+00,1.50000E+01,-1.27472E-06,-2.04429E-07,-4.82091E-05,-1.08901E-04,2.45271E-01,2.60038E-02,6.85248E-03,2.09331E-04,-4.87805E-03,0.00000E+00,3.95459E-12,6.21814E-09,-6.21418E-09,5.70891E-17,6.21418E-09
16,0.00000E+00,1.60000E+01,-1.27546E-06,-1.84982E-07,-6.25344E-05,-1.02496E-04,2.51213E-01,-1.13119E-02,6.90031E-03,-9.10611E-05,-4.87805E-03,0.00000E+00,3.34867E-12,6.22174E-09,-6.21839E-09,5.80242E-17,6.21839E-09
17,0.00000E+00,1.70000E+01,-1.27623E-06,-1.65230E-07,-7.35180E-05,-9.25914E-05,2.75334E-01,-3.44961E-02,7.09449E-03,-2.77694E-04,-4.87805E-03,0.00000E+00,2.73196E-12,6.22552E-09,-6.22279E-09,5.62617E-17,6.22279E-09
18,0.00000E+00,1.80000E+01,-1.27699E-06,-1.45203E-07,-8.20147E-05,-8.26975E-05,2.92312E-01,-4.24935E-02,7.23116E-03,-3.42072E-04,-4.87805E-03,0.00000E+00,2.20532E-12,6.22922E-09,-6.22701E-09,5.46003E-17,6.22701E-09
19,0.00000E+00,1.90000E+01,-1.27769E-06,-1.24935E-07,-8.95351E-05,-7.24544E-05,2.75477E-01,-3.80286E-02,7.09564E-03,-3.06130E-04,-4.87805E-03,0.00000E+00,1.79457E-12,6.23262E-09,-6.23082E-09,5.33963E-17,6.23082E-09
20,0.00000E+00,2.00000E+01,-1.27832E-06,-1.04457E-07,-9.49928E-05,-6.08627E-05,2.57675E-01,-2.18572E-02,6.95233E-03,-1.75951E-04,-4.87805E-03,0.00000E+00,1.48067E-12,6.23571E-09,-6.23423E-09,5.12298E-17,6.23423E-09
21,0.00000E+00,2.10000E+01,-1.27889E-06,-8.37945E-08,-9.95152E-05,-4.95964E-05,2.65257E-01,-2.75458E-02,7.01337E-03,-2.21743E-04,-4.87805E-03,0.00000E+00,1.18378E-12,6.23848E-09,-6.23730E-09,4.97613E-17,6.23730E-09
22,0.00000E+00,2.20000E+01,-1.27936E-06,-6.29792E-08,-1.04629E-04,-3.79477E-05,2.72641E-01,-3.78241E-02,7.07281E-03,-3.04484E-04,-4.87805E-03,0.00000E+00,9.42973E-13,6.24077E-09,-6.23983E-09,4.98588E-17,6.23983E-09
23,0.00000E+00,2.30000E+01,-1.27970E-06,-4.20537E-08,-1.08171E-04,-2.58228E-05,2.65323E-01,-1.66953E-02,7.01390E-03,-1.34397E-04,-4.87805E-03,0.00000E+00,7.91810E-13,6.24244E-09,-6.24165E-09,4.97800E-17,6.24165E-09
24,0.00000E+00,2.40000E+01,-1.27992E-06,-2.10464E-08,-1.10879E-04,-1.33576E-05,2.80826E-01,-1.12592E-02,7.13870E-03,-9.06362E-05,-4.87805E-03,0.00000E+00,6.66025E-13,6.24352E-09,-6.24285E-09,5.02018E-17,6.24285E-09
25,0.00000E+00,2.50000E+01,-1.28000E-06,-2.04440E-16,-1.12576E-04,1.14795E-12,2.96828E-01,6.20526E-07,7.26751E-03,4.99523E-09,-4.87805E-03,0.00000E+00,6.08764E-13,6.24392E-09,-6.24331E-09,5.10099E-17,6.24331E-09
26,0.00000E+00,2.60000E+01,-1.27992E-06,2.10464E-08,-1.10879E-04,1.33576E-05,2.80826E-01,1.12586E-02,7.13870E-03,9.06321E-05,-4.87805E-03,0.00000E+00,6.66025E-13,6.24352E-09,-6.24285E-09,5.02018E-17,6.24285E-09
27,0.00000E+00,2.70000E+01,-1.27970E-06,4.20537E-08,-1.08171E-04,2.58228E-05,2.65322E-01,1.66957E-02,7.01389E-03,1.34400E-04,-4.87805E-03,0.00000E+00,7.91810E-13,6.24244E-09,-6.24165E-09,4.97800E-17,6.24165E-09
28,0.00000E+00,2.80000E+01,-1.27936E-06,6.29792E-08,-1.04629E-04,3.79478E-05,2.72641E-01,3.78243E-02,7.07280E-03,3.04485E-04,-4.87805E-03,0.00000E+00,9.42973E-13,6.24077E-09,-6.23983E-09,4.98588E-17,6.23983E-09
29,0.00000E+00,2.90000E+01,-1.27889E-06,8.37945E-08,-9.95152E-05,4.95964E-05,2.65257E-01,2.75460E-02,7.01337E-03,2.21745E-04,-4.87805E-03,0.00000E+00,1.18378E-12,6.23848E-09,-6.23730E-09,4.97613E-17,6.23730E-09
30,0.00000E+00,3.00000E+01,-1.27832E-06,1.04457E-07,-9.49928E-05,6.08627E-05,2.57675E-01,2.18565E-02,6.95233E-03,1.75945E-04,-4.87805E-03,0.00000E+00,1.48067E-12,6.23571E-09,-6.23423E-09,5.12298E-17,6.23423E-09
31,0.00000E+00,3.10000E+01,-1.27769E-06,1.24935E-07,-8.95351E-05,7.24544E-05,2.75477E-01,3.80290E-02,7.09564E-03,3.06133E-04,-4.87805E-03,0.00000E+00,1.79457E-12,6.23262E-09,-6.23082E-09,5.33963E-17,6.23082E-09
32,0.00000E+00,3.20000E+01,-1.27699E-06,1.45203E-07,-8.20147E-05,8.26975E-05,2.92312E-01,4.24933E-02,7.23116E-03,3.42071E-04,-4.87805E-03,0.00000E+00,2.20532E-12,6.22922E-09,-6.22701E-09,5.46003E-17,6.22701E-09
33,0.00000E+00,3.30000E+01,-1.27623E-06,1.65230E-07,-7.35180E-05,9.25915E-05,2.75334E-01,3.44968E-02,7.09449E-03,2.77699E-04,-4.87805E-03,0.00000E+00,2.73195E-12,6.22552E-09,-6.22279E-09,5.62617E-17,6.22279E-09
34,0.00000E+00,3.40000E+01,-1.27546E-06,1.84982E-07,-6.25344E-05,1.02496E-04,2.51213E-01,1.13119E-02,6.90032E-03,9.10611E-05,-4.87805E-03,0.00000E+00,3.34867E-12,6.22174E-09,-6.21839E-09,5.80242E-17,6.21839E-09
35,0.00000E+00,3.50000E+01,-1.27472E-06,2.04429E-07,-4.82090E-05,1.08901E-04,2.45271E-01,-2.60031E-02,6.85248E-03,-2.09325E-04,-4.87805E-03,0.00000E+00,3.95459E-12,6.21814E-09,-6.21418E-09,5.70891E-17,6.21418E-09
36,0.00000E+00,3.60000E+01,-1.27403E-06,2.23543E-07,-3.44086E-05,1.12743E-04,1.96564E-01,-4.99310E-02,6.46039E-03,-4.01944E-04,-4.87805E-03,0.00000E+00,4.38381E-12,6.21480E-09,-6.21042E-09,5.59270E-17,6.21042E-09
37,0.00000E+00,3.70000E+01,-1.27349E-06,2.42299E-07,-2.41871E-05,1.16134E-04,1.62020E-01,8.25255E-03,6.18231E-03,6.64330E-05,-4.87805E-03,0.00000E+00,4.51304E-12,6.21216E-09,-6.20764E-09,5.66401E-17,6.20764E-09
38,0.00000E+00,3.80000E+01,-1.27316E-06,2.60725E-07,-1.50422E-05,1.17627E-04,1.77559E-01,6.39796E-03,6.30740E-03,5.15036E-05,-4.87805E-03,0.00000E+00,4.71421E-12,6.21054E-09,-6.20583E-09,5.66013E-17,6.20583E-09
39,0.00000E+00,3.90000E+01,-1.27305E-06,2.78831E-07,-6.33784E-06,1.19085E-04,1.91553E-01,-6.98987E-02,6.42005E-03,-5.62684E-04,-4.87805E-03,0.00000E+00,5.03233E-12,6.20999E-09,-6.20496E-09,5.72411E-17,6.20496E-09
40,0.00000E+00,4.00000E+01,-1.27316E-06,2.96594E-07,1.45834E-06,1.19893E-04,1.61511E-01,-6.92281E-02,6.17821E-03,-5.57287E-04,-4.87805E-03,0.00000E+00,5.05564E-12,6.21053E-09,-6.20548E-09,5.78650E-17,6.20548E-09
41,0.00000E+00,4.10000E+01,-1.27353E-06,3.14043E-07,8.54826E-06,1.20436E-04,9.21290E-02,-8.45146E-02,5.61969E-03,-6.80343E-04,-4.87805E-03,0.00000E+00,4.91993E-12,6.21232E-09,-6.20740E-09,5.86762E-17,6.20740E-09
42,0.00000E+00,4.20000E+01,-1.27425E-06,3.31183E-07,1.57248E-05,1.19990E-04,1.03545E-01,-6.09838E-02,5.71159E-03,-4.90919E-04,-4.87805E-03,0.00000E+00,4.70510E-12,6.21587E-09,-6.21116E-09,5.89454E-17,6.21116E-09
43,0.00000E+00,4.30000E+01,-1.27534E-06,3.48056E-07,2.38081E-05,1.19657E-04,1.43717E-01,-7.49005E-02,6.03497E-03,-6.02949E-04,-4.87805E-03,0.00000E+00,4.57655E-12,6.22115E-09,-6.21658E-09,5.99104E-17,6.21658E-09
44,0.00000E+00,4.40000E+01,-1.27674E-06,3.64682E-07,3.12702E-05,1.19043E-04,1.59458E-01,-7.70889E-02,6.16169E-03,-6.20566E-04,-4.87805E-03,0.00000E+00,4.33449E-12,6.22802E-09,-6.22369E-09,6.09745E-17,6.22369E-09
